code,display_name,category_code,play_template,ball_count,draw_interval,sort_order,on_sale,outbound_lottery_code

tron_ffc_1m,波场1分彩,ffc,ssc_std,5,1m,1,true,19

tron_ffc_3m,波场3分彩,ffc,ssc_std,5,3m,2,true,20

tron_ffc_5m,波场5分彩,ffc,ssc_std,5,5m,3,true,21

hash_ffc_1m,哈希1分彩,ffc,ssc_std,5,1m,4,true,25

hash_ffc_3m,哈希3分彩,ffc,ssc_std,5,3m,5,true,26

hash_ffc_5m,哈希5分彩,ffc,ssc_std,5,5m,6,true,27

eth_ffc_1m,以太坊1分彩,ffc,ssc_std,5,1m,7,false,eth_ffc_1m

eth_ffc_3m,以太坊3分彩,ffc,ssc_std,5,3m,8,false,eth_ffc_3m

eth_ffc_5m,以太坊5分彩,ffc,ssc_std,5,5m,9,false,eth_ffc_5m

bnb_ffc_1m,币安1分彩,ffc,ssc_std,5,1m,10,true,39

bnb_ffc_3m,币安3分彩,ffc,ssc_std,5,3m,11,true,40

bnb_ffc_5m,币安5分彩,ffc,ssc_std,5,5m,12,true,41

eth_ffc_new,新以太坊分分彩,ffc,ssc_std,5,,13,false,eth_ffc_new

tron_jisu,波场极速彩,jisu,ssc_std,5,jisu,14,true,24

hash_jisu,哈希极速彩,jisu,ssc_std,5,jisu,15,true,23

eth_jisu,以太坊极速彩,jisu,ssc_std,5,jisu,16,false,eth_jisu

tron_lhc_1m,波场1分六合彩,lhc,lhc_std,7,1m,17,true,76

tron_lhc_3m,波场3分六合彩,lhc,lhc_std,7,3m,18,true,77

tron_lhc_5m,波场5分六合彩,lhc,lhc_std,7,5m,19,true,78

tron_syxw,波场11选5,syxw,syxw_std,5,,21,true,42

tron_syxw_3m,波场3分11选5,syxw,syxw_std,5,3m,22,true,43

tron_syxw_5m,波场5分11选5,syxw,syxw_std,5,5m,23,true,44

eth_syxw,以太坊11选5,syxw,syxw_std,5,,24,false,eth_syxw

eth_syxw_3m,以太坊3分11选5,syxw,syxw_std,5,3m,25,false,eth_syxw_3m

eth_syxw_5m,以太坊5分11选5,syxw,syxw_std,5,5m,26,false,eth_syxw_5m

bnb_syxw,币安11选5,syxw,syxw_std,5,,27,true,48

bnb_syxw_3m,币安3分11选5,syxw,syxw_std,5,3m,28,true,49

bnb_syxw_5m,币安5分11选5,syxw,syxw_std,5,5m,29,true,50

eth_pk10_jisu,以太极速赛车,pk10,pk10_std,10,jisu,30,false,eth_pk10_jisu

eth_pk10_5m,以太5分赛车,pk10,pk10_std,10,5m,31,false,eth_pk10_5m

bnb_pk10_jisu,币安极速飞艇,pk10,pk10_std,10,jisu,32,true,53

bnb_pk10_5m,币安5分飞艇,pk10,pk10_std,10,5m,33,true,54

tron_pk10_jisu,波场极速赛车,pk10,pk10_std,10,jisu,34,true,55

eth_k3,以太坊快三,k3,k3_std,3,,36,false,eth_k3

eth_k3_3m,以太坊3分快三,k3,k3_std,3,3m,37,false,eth_k3_3m

eth_k3_5m,以太坊5分快三,k3,k3_std,3,5m,38,false,eth_k3_5m

tron_k3_jisu,波场极速快三,k3,k3_std,3,jisu,39,true,59

tron_k3_1m,波场1分快三,k3,k3_std,3,1m,40,true,60

tron_k3_3m,波场3分快三,k3,k3_std,3,3m,41,true,61

tron_k3_5m,波场5分快三,k3,k3_std,3,5m,42,true,62

bnb_k3_1m,币安1分快三,k3,k3_std,3,1m,43,true,63

bnb_k3_3m,币安3分快三,k3,k3_std,3,3m,44,true,64

bnb_k3_5m,币安5分快三,k3,k3_std,3,5m,45,true,65

tron_ffc_3s,波场3秒彩,jisu,fast_ssc_std,5,3s,48,true,73

tron_ffc_6s,波场6秒彩,jisu,fast_ssc_std,5,6s,49,true,74

tron_ffc_15s,波场15秒彩,jisu,fast_ssc_std,5,15s,50,true,75

