template_code,type_id,label,sort_order,panel_type,enabled
ssc_std,dingwei,定位胆,1,,true
ssc_std,qian3,前三,2,,true
ssc_std,zhong3,中三,3,,true
ssc_std,hou3,后三,4,,true
ssc_std,qian2,前二,5,,true
ssc_std,hou2,后二,6,,true
ssc_std,longhu,龙虎,7,,true
ssc_std,renxuan,任选,8,,true
ssc_std,qianzhonghou3,前中后三,9,,true
ssc_std,qianhou3,前后三,10,,true
ssc_std,budingwei,不定位,11,,true
ssc_std,combo24,前后二/前后四,12,,true
ssc_std,sixing,四星,13,,true
ssc_std,wuxing,五星,14,,true
ssc_std,dxds,大小单双,15,,true
lhc_std,tema,特码,1,,true
lhc_std,erquanzhong,二全中,2,,true
lhc_std,erzhongte,二中特,3,,true
lhc_std,techuan,特串,4,,true
lhc_std,sanzhonger,三中二,5,,true
lhc_std,sanquanzhong,三全中,6,,true
lhc_std,shengxiao,生肖,7,,true
lhc_std,weishu,尾数,8,,true
lhc_std,buzhong_xuanyi,不中/选一,9,,true
lhc_std,guoguan,过关,10,,true
lhc_std,tematouwei,特码头尾,11,,true
lhc_std,wuxingjiaye,五行家野,12,,true
lhc_std,bose,波色,13,,true
lhc_std,qima,七码,14,,true
lhc_std,renzhong,任中,15,,true
syxw_std,dingwei,定位胆,1,,true
syxw_std,qian3,前三,2,,true
syxw_std,qian2,前二,3,,true
syxw_std,renxuan_fs,复式任选,4,,true
syxw_std,renxuan_ds,单式任选,5,,true
pk10_std,dingwei,定位胆,1,,true
pk10_std,longhu,龙虎斗,2,,true
pk10_std,qian1,前一,3,,true
pk10_std,qian2,前二,4,,true
pk10_std,qian3,前三,5,,true
pk10_std,qian4,前四,6,,true
pk10_std,qian5,前五,7,,true
pk10_std,daxiao,大小,8,,true
pk10_std,danshuang,单双,9,,true
pk10_std,hezhi,和值,10,,true
pk10_std,dxds_combo,大小单双,11,,true
k3_std,hezhi,和值,1,,true
k3_std,tonghao,同号,2,,true
k3_std,butonghao,不同号,3,,true
k3_std,lianhao_qita,连号与其它,4,,true
pc28_std,pc28_20,2.0,1,,true
pc28_std,pc28_28,2.8,2,,true
